head,his_score,her_score,total_score
6,0.04833180860926703,0.22271240434366724,0.27104421295293424
14,0.14396603091320548,0.12489676577386917,0.26886279668707463
1,0.0690250932005912,0.0931827474798735,0.1622078406804647
13,0.09023853592382759,0.06325847476936393,0.15349701069319152
12,0.09122605675392291,0.053587646307626274,0.14481370306154917
11,0.038492988889689134,0.09486535620934883,0.13335834509903796
10,0.04804967621563253,0.026350356349254152,0.07440003256488668
8,0.03649339513903487,0.02207648460967924,0.05856987974871411
3,0.03607872006119553,0.018441895695670327,0.054520615756865856
2,0.01627843746089579,0.027390935600127723,0.04366937306102352
9,0.019679532043255614,0.02084739939343817,0.04052693143669378
0,0.0085470353563626,0.017408669613859576,0.025955704970222176
5,0.012294413088610567,0.010570348756801975,0.022864761845412543
4,0.011649733365301932,0.0105468550513237,0.022196588416625633
15,0.015483459558434933,0.005643188288706051,0.021126647847140984
7,0.003215286787618526,0.0022646539475910943,0.00547994073520962
